	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_10207_0.txt	10207	0	2934.01140684	2218.67699115	2660.06185567	2467.48305085	2608.22180451	2387.81052632	2276.39754098	2307.34210526	2472.2244898	2586.03164557	2415.70103093	2419.12631579	2423.08139535	2418.84210526	2425.29739777	2286.632287	2664.79310345	2191.85020243	2858.53703704	3033.53177258	2348.88808664	2509.93584906	2531.53358209	2777.1025641	2450.25	2521.59340659	2597.10423453	2245.03797468	2165.55172414
alpha_rarefaction_10207_1.txt	10207	1	2736.59271523	2087.81707317	2665.57480315	2464.28947368	2462.46925566	2598.48763251	2258.02352941	2206.46766169	2308.20754717	2652.19536424	2458.5087108	2550.76655052	2327.00408163	2586.35275081	2444.0	2068.85950413	2662.93065693	2289.28979592	2720.08965517	2938.03040541	2405.85920578	2527.77289377	2521.45172414	2824.70895522	2166.1443662	2539.23481781	2545.83653846	2295.72815534	2145.25301205
alpha_rarefaction_10207_2.txt	10207	2	3006.33090909	2148.33333333	2578.33703704	2289.08273381	2592.87676056	2678.96466431	2248.27272727	2109.61825726	2429.1023622	2579.59133127	2659.6	2457.41946309	2400.41791045	2519.1910828	2379.47014925	2158.2406015	2640.18345324	2336.9	2696.03401361	2867.05154639	2419.26829268	2623.03053435	2520.98106061	2703.4601227	2408.68421053	2577.04744526	2789.01030928	2075.76315789	2045.082397
alpha_rarefaction_10207_3.txt	10207	3	2934.50557621	1994.29460581	2642.83397683	2432.50632911	2678.95419847	2593.8490566	2296.79622642	2180.06849315	2410.17131474	2734.84782609	2707.59143969	2534.37638376	2371.24050633	2565.24242424	2408.35531136	2306.76293103	2550.66433566	2352.2112069	2604.55254237	2901.99683544	2643.47368421	2654.61752988	2699.82231405	2980.07241379	2301.56640625	2430.82352941	2592.55254237	2143.06896552	2150.04065041
alpha_rarefaction_10207_4.txt	10207	4	2773.65357143	2110.95652174	2528.11111111	2297.61678832	2384.87248322	2486.60137457	2266.70042194	2303.26635514	2336.10035842	2669.96363636	2580.51086957	2555.78571429	2504.16438356	2734.97794118	2343.17045455	2153.03187251	2700.45849802	2174.3373494	2686.03960396	2882.09836066	2384.51803279	2655.75954198	2578.12177122	3093.66423358	2223.48972603	2377.29166667	2559.98293515	2111.64	2155.50199203
alpha_rarefaction_10207_5.txt	10207	5	2666.24675325	2216.87068966	2587.60526316	2430.43612335	2626.80970149	2521.62068966	2371.30952381	2386.0	2681.68965517	2645.07615894	2591.45993031	2634.67790262	2565.14285714	2612.87234043	2436.10780669	2266.45384615	2692.45762712	2476.66382979	2578.01935484	2763.75	2630.05791506	2943.75336323	2541.21132075	2763.25986842	2344.77307692	2612.5210728	2610.09427609	2093.82773109	2179.82857143
alpha_rarefaction_10207_6.txt	10207	6	2640.5979021	2110.375	2592.42857143	2461.63967611	2684.57352941	2545.36206897	2360.88235294	2181.45652174	2396.07630522	2737.50324675	2549.65263158	2585.05244755	2355.07142857	2546.90333333	2423.38461538	2096.55511811	2730.86746988	2328.88841202	2608.98924731	2859.09006211	2487.19791667	2492.11111111	2462.12099644	2759.46153846	2273.0077821	2550.33703704	2580.12703583	2192.73387097	2319.24347826
alpha_rarefaction_10207_7.txt	10207	7	2789.61484099	2149.20444444	2576.35606061	2508.33333333	2568.08178439	2624.51567944	2444.421875	2333.38990826	2363.4795539	2605.78678679	2572.07865169	2515.89716312	2291.73090909	2672.45762712	2443.29323308	2209.38325991	2666.32631579	2293.62256809	2646.53401361	2643.002849	2471.75958188	2729.25482625	2582.14339623	2964.17021277	2182.16104869	2580.59459459	2630.20819113	2255.32627119	2141.25
alpha_rarefaction_10207_8.txt	10207	8	2708.95904437	2445.68020305	2454.13207547	2312.12781955	2665.34432234	2570.80357143	2432.5625	2424.10047847	2312.00406504	2748.003367	2519.22295082	2453.47232472	2171.5620438	2747.67719298	2520.0	2168.06844106	2717.5952381	2342.51190476	2615.96116505	2749.94409938	2527.38181818	2620.54545455	2530.25362319	2751.3	2189.80487805	2734.00414938	2478.91935484	2205.69196429	2077.63432836
alpha_rarefaction_10207_9.txt	10207	9	2953.3744856	2135.56637168	2504.28888889	2238.81386861	2489.05263158	2574.2739726	2292.73563218	2435.02439024	2415.00381679	2764.38244514	2696.48275862	2610.42753623	2471.54581673	2636.75	2461.96629213	2311.75409836	2692.9588015	2292.47058824	2589.91872792	2781.62275449	2414.94623656	2768.08433735	2509.89473684	2719.0	2349.40384615	2702.35955056	2718.92	2207.17721519	2259.89121339
